,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
575,ID093J071250,54.64764,-123.86818,TrJTk,60.71,64.75
414,ID093G073334,53.97397,-123.74371,LTQCh,31.09,26.73
387,ID093G073305,53.83901,-123.79694,MTrCc,15.53,20.27
226,ID093G073106,53.6977,-122.51563,TrJTk,51.9,50.3
1426,ID093J073814,54.35222,-122.59084,KTpg,26.07,37.53
789,ID093J071632,54.49985,-123.49676,TrJTk,54.93,57.25
1878,ID093O072459,55.01996,-123.65032,TrJTk,101.3,78.25
549,ID093J071143,54.95892,-123.91133,TrJTk,52.48,63.85
1255,ID093J073623,54.16257,-122.89236,TrJTk,50.53,53.5
670,ID093J071490,54.97003,-123.44408,KTmc,48.17,53.16
668,ID093J071487,54.89941,-123.62453,KTpg,28.88,54.92
904,ID093J071762,54.65706,-123.20949,KTpg,66.44,64.73
1198,ID093J073559,54.28991,-123.19017,TrJTk,53.11,46.38
607,ID093J071344,54.76321,-123.74984,TrJTk,24.27,27.7
664,ID093J071483,54.87325,-123.48674,KTpg,33.65,53.83
649,ID093J071395,54.75292,-123.73834,TrJTk,8.13,10.39
1580,ID093J075028,54.97907,-123.11442,TrJTk,57.4,48.25
1904,ID093O072500,55.1499,-123.50518,KTmc,54.43,42.91
288,ID093G073195,53.83827,-122.20049,CPSm,17.0,21.49
1287,ID093J073659,54.54372,-123.45165,KTmc,51.95,57.93
776,ID093J071618,54.68751,-123.27075,Kpe,65.68,57.42
713,ID093J071548,54.52683,-123.70845,TrJTk,10.46,16.75
1754,ID093N071194,55.13601,-124.60459,TrJTk,83.07,49.61
1445,ID093J073835,54.21451,-122.66791,TrJTk,39.76,34.45
1665,ID093J075137,54.8123,-122.94179,CPSm,29.96,44.46
473,ID093J071058,54.18691,-123.67215,LTQCh,58.82,60.12
1346,ID093J073725,54.09662,-122.86747,TrJTk,48.58,51.98
511,ID093J071100,54.60827,-123.68817,TrJTk,27.83,39.26
1368,ID093J073749,54.31793,-122.64645,CPSm,40.95,38.03
